Market,ST,MSA,CC Rate,SF/Cap,Med HHI,Sup Gr%,SF Dev,Tax,Crime,Ind Basis,Exit CO,Exit Stab,Yld/Basis,Sc:Rate,Sc:Sat,Sc:HHI,Sc:Grw,Sc:Tax,Sc:Crm,Sc:Bas,Sc:Exit,Score,Rank,Tier
"Lake Villa, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.42,4.91,109138,0.0569,33379,0.04,3100,105,167,239,0.16228571428571428,0.492,0.747,0.652,0.69,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5793499999999999,727,B
"Marengo, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.42,10.32,97762,,,0.04,3100,105,167,239,0.16228571428571428,0.492,0.20399999999999996,0.518,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Union, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.42,9.35,101797,,,0.04,3100,105,167,239,0.16228571428571428,0.492,0.264,0.573,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Woodstock, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.42,6,94371,0.0705,13775,0.04,3100,105,167,239,0.16228571428571428,0.492,0.603,0.474,0.617,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5379999999999999,1020,B
"Round Lake, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.42,4.81,105743,0.0574,34281,0.04,3100,105,167,239,0.16228571428571428,0.492,0.761,0.614,0.687,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5801,721,B
"Crown Point, IN",IN,"Chicago-Naperville-Elgin, IL-IN",1.41,10.16,94947,0.0161,14016,0.04,3100,105,167,239,0.16114285714285712,0.486,0.21099999999999997,0.481,0.937,0.06499999999999995,0.603,0.6799999999999999,0.612,0.47475,1529,C
"Buffalo Grove, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.4,5.95,121570,0.1371,192491,0.04,3100,105,167,239,0.15999999999999998,0.476,0.608,0.767,0.358,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5375,1025,B
"Griffith, IN",IN,"Chicago-Naperville-Elgin, IL-IN",1.4,7.66,76642,0.0301,42048,0.04,3100,105,167,239,0.15999999999999998,0.476,0.402,0.231,0.84,0.06499999999999995,0.603,0.6799999999999999,0.612,0.4936,1385,C
"River Grove, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.39,5.01,88841,,,0.04,3100,105,167,239,0.15885714285714286,0.465,0.736,0.401,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Oakwood Hills, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.39,12.87,116959,0.1141,128719,0.04,3100,105,167,239,0.15885714285714286,0.465,0.10399999999999998,0.729,0.43700000000000006,0.06499999999999995,0.603,0.6799999999999999,0.612,0.43654999999999994,1726,D
