Market,ST,MSA,Tier,Score,Rank,lat,lng
"Kennesaw, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2523,2306.0,34.02343,-84.61549
"Johns Creek, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.33445,2097.0,34.02893,-84.19858
"Austell, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2355999999999999,2332.0,33.749,-84.38798
"Mountain Park, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.31325,2160.0,33.749,-84.38798
"Oakwood, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2368499999999999,2331.0,33.749,-84.38798
"Morrow, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2234499999999999,2344.0,33.749,-84.38798
"Ball Ground, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",,,,33.749,-84.38798
"Powder Springs, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.25905,2300.0,33.749,-84.38798
"Milton, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.3075,2170.0,34.13216,-84.30067
"Alpharetta, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2963,2197.0,34.07538,-84.29409
"Gainesville, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.22305,2345.0,34.29788,-83.82407
"Marietta, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2448499999999999,2325.0,33.9526,-84.54993
"Duluth, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2855499999999999,2237.0,34.00288,-84.14464
"Lake City, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2350999999999999,2334.0,33.749,-84.38798
"Norcross, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.27655,2263.0,33.94121,-84.21353
"Jonesboro, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2425,2326.0,33.749,-84.38798
"Stonecrest, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.29325,2210.0,33.70849,-84.13485
"Berkeley Lake, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2791,2258.0,33.749,-84.38798
"Lithonia, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.27475,2265.0,33.749,-84.38798
"Cumming, GA",GA,"Atlanta-Sandy Springs-Roswell, GA",E,0.2337499999999999,2336.0,33.749,-84.38798
